scenario_id,year,plant_id,unit_scope,pattern_id,asset_type,event_type,root_cause,forecast_start_time,actual_start_time,start_time,end_time,pattern_shape,presenter_story
SCN_00001_SOLAR_SIGMOID_RAMP_UP_4PM,2015,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2015-01-05T15:00:00,2015-01-05T15:35:00,2015-01-05T15:20:00,2015-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00002_SOLAR_SIGMOID_RAMP_DOWN,2015,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2015-03-09T14:40:00,2015-03-09T15:05:00,2015-03-09T14:55:00,2015-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00003_GRID_CURTAILMENT_PLATEAU,2015,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2015-05-14T12:30:00,2015-05-14T12:45:00,2015-05-14T12:45:00,2015-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00004_SCADA_STALE_SIGNAL,2015,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2015-08-18T14:55:00,2015-08-18T15:00:00,2015-08-18T15:00:00,2015-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00005_WIND_SIGMOID_RAMP_DOWN,2015,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2015-02-07T14:40:00,2015-02-07T15:05:00,2015-02-07T14:55:00,2015-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00006_WIND_SIGMOID_RAMP_UP_4PM,2015,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2015-06-16T15:00:00,2015-06-16T15:35:00,2015-06-16T15:20:00,2015-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00007_EQUIPMENT_DERATING,2015,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2015-09-22T11:25:00,2015-09-22T11:30:00,2015-09-22T11:30:00,2015-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00008_SOLAR_SIGMOID_RAMP_UP_4PM,2016,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2016-01-05T15:00:00,2016-01-05T15:35:00,2016-01-05T15:20:00,2016-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00009_SOLAR_SIGMOID_RAMP_DOWN,2016,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2016-03-09T14:40:00,2016-03-09T15:05:00,2016-03-09T14:55:00,2016-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00010_GRID_CURTAILMENT_PLATEAU,2016,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2016-05-14T12:30:00,2016-05-14T12:45:00,2016-05-14T12:45:00,2016-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00011_SCADA_STALE_SIGNAL,2016,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2016-08-18T14:55:00,2016-08-18T15:00:00,2016-08-18T15:00:00,2016-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00012_WIND_SIGMOID_RAMP_DOWN,2016,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2016-02-07T14:40:00,2016-02-07T15:05:00,2016-02-07T14:55:00,2016-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00013_WIND_SIGMOID_RAMP_UP_4PM,2016,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2016-06-16T15:00:00,2016-06-16T15:35:00,2016-06-16T15:20:00,2016-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00014_EQUIPMENT_DERATING,2016,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2016-09-22T11:25:00,2016-09-22T11:30:00,2016-09-22T11:30:00,2016-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00015_SOLAR_SIGMOID_RAMP_UP_4PM,2017,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2017-01-05T15:00:00,2017-01-05T15:35:00,2017-01-05T15:20:00,2017-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00016_SOLAR_SIGMOID_RAMP_DOWN,2017,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2017-03-09T14:40:00,2017-03-09T15:05:00,2017-03-09T14:55:00,2017-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00017_GRID_CURTAILMENT_PLATEAU,2017,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2017-05-14T12:30:00,2017-05-14T12:45:00,2017-05-14T12:45:00,2017-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00018_SCADA_STALE_SIGNAL,2017,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2017-08-18T14:55:00,2017-08-18T15:00:00,2017-08-18T15:00:00,2017-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00019_WIND_SIGMOID_RAMP_DOWN,2017,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2017-02-07T14:40:00,2017-02-07T15:05:00,2017-02-07T14:55:00,2017-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00020_WIND_SIGMOID_RAMP_UP_4PM,2017,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2017-06-16T15:00:00,2017-06-16T15:35:00,2017-06-16T15:20:00,2017-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
SCN_00021_EQUIPMENT_DERATING,2017,WND_GADAG,WND_GADAG_F3,EQUIPMENT_DERATING,all,equipment_derating,equipment,2017-09-22T11:25:00,2017-09-22T11:30:00,2017-09-22T11:30:00,2017-09-22T15:20:00,availability drop with slower recovery,"Resource normal, availability lower, output falls."
SCN_00022_SOLAR_SIGMOID_RAMP_UP_4PM,2018,SOL_PAVAGADA,PAV_S3_B01|PAV_S3_B02|PAV_S3_B03|PAV_S3_B04|PAV_S3_B05,SOLAR_SIGMOID_RAMP_UP_4PM,solar,cloud_ramp_up_after_cloud_clearance,weather,2018-01-05T15:00:00,2018-01-05T15:35:00,2018-01-05T15:20:00,2018-01-05T17:10:00,S-curve / sigmoid recovery,Forecast P50 bends upward before actual. Actual follows with phase lag. P10-P90 band widens during event.
SCN_00023_SOLAR_SIGMOID_RAMP_DOWN,2018,SOL_PAVAGADA,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04|PAV_S6_B05,SOLAR_SIGMOID_RAMP_DOWN,solar,cloud_ramp_down,weather,2018-03-09T14:40:00,2018-03-09T15:05:00,2018-03-09T14:55:00,2018-03-09T16:40:00,S-curve / sigmoid drop,Forecast drops before actual; cloud obstruction rises first.
SCN_00024_GRID_CURTAILMENT_PLATEAU,2018,SOL_PAVAGADA,ALL,GRID_CURTAILMENT_PLATEAU,all,grid_curtailment_plateau,grid_constraint,2018-05-14T12:30:00,2018-05-14T12:45:00,2018-05-14T12:45:00,2018-05-14T16:45:00,actual export clips flat at local limit while possible power remains higher,"Plot possible power, actual export and local limit together."
SCN_00025_SCADA_STALE_SIGNAL,2018,SOL_PAVAGADA,PAV_S2_B01|PAV_S2_B02,SCADA_STALE_SIGNAL,all,scada_stale_signal,data_quality,2018-08-18T14:55:00,2018-08-18T15:00:00,2018-08-18T15:00:00,2018-08-18T16:25:00,reported actual tag holds constant while physical signal moves,Actual line freezes; quality badge turns STALE; confidence drops.
SCN_00026_WIND_SIGMOID_RAMP_DOWN,2018,WND_GADAG,WND_GADAG_F2,WIND_SIGMOID_RAMP_DOWN,wind,wind_ramp_down,weather,2018-02-07T14:40:00,2018-02-07T15:05:00,2018-02-07T14:55:00,2018-02-07T16:40:00,wind-speed sigmoid decline through nonlinear turbine power curve,"Wind-speed line changes first, power follows through power curve."
SCN_00027_WIND_SIGMOID_RAMP_UP_4PM,2018,WND_GADAG,WND_GADAG_F1,WIND_SIGMOID_RAMP_UP_4PM,wind,wind_ramp_up,weather,2018-06-16T15:00:00,2018-06-16T15:35:00,2018-06-16T15:20:00,2018-06-16T17:10:00,wind-speed sigmoid increase through power curve,Forecast anticipates rise; actual follows. Band widens around the event.
