parent_event_id,event_date,event_type,root_cause,severity,primary_hub_id,impacted_blocks,forecast_start_time,actual_start_time,start_time,end_time,plant_level_max_loss_mw,detection_confidence_pct,operator_summary,recommended_action
EVH_00001,2015-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2015-01-05T15:00:00,2015-01-05T15:35:00,2015-01-05T15:20:00,2015-01-05T17:10:00,47.39,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00002,2015-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2015-03-09T14:35:00,2015-03-09T15:05:00,2015-03-09T14:55:00,2015-03-09T16:35:00,45.7,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00003,2015-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2015-05-14T12:30:00,2015-05-14T12:45:00,2015-05-14T12:45:00,2015-05-14T16:45:00,97.7,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00004,2015-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2015-08-18T14:55:00,2015-08-18T15:00:00,2015-08-18T15:00:00,2015-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00005,2015-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2015-10-22T10:25:00,2015-10-22T10:30:00,2015-10-22T10:30:00,2015-10-22T14:30:00,12.11,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
EVH_00006,2016-01-05,cloud_ramp_up_after_cloud_clearance,weather,WATCH,PAV_HUB_3,PAV_S3_B02|PAV_S3_B03|PAV_S3_B04,2016-01-05T15:00:00,2016-01-05T15:35:00,2016-01-05T15:20:00,2016-01-05T17:10:00,49.57,86,Cloud obstruction clears around Hub 3; forecast P50 rises before actual output catches up.,Prepare reserve release carefully and monitor ramp timing.
EVH_00007,2016-03-09,cloud_ramp_down,weather,WATCH,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03,2016-03-09T14:35:00,2016-03-09T15:05:00,2016-03-09T14:55:00,2016-03-09T16:35:00,45.02,86,Incoming cloud band reduces Hub 6 possible power; uncertainty band widens.,Prepare reserve and adjust intraday expectation.
EVH_00008,2016-05-14,grid_curtailment_plateau,grid_constraint,ALERT,PAV_HUB_6,PAV_S6_B01|PAV_S6_B02|PAV_S6_B03|PAV_S6_B04,2016-05-14T12:30:00,2016-05-14T12:45:00,2016-05-14T12:45:00,2016-05-14T16:45:00,99.06,93,Local export limit is active; actual output clips below possible power.,Record curtailment separately from weather forecast error; check PPC/local limit.
EVH_00009,2016-08-18,scada_stale_signal,data_quality,ALERT,PAV_HUB_2,PAV_S2_B01,2016-08-18T14:55:00,2016-08-18T15:00:00,2016-08-18T15:00:00,2016-08-18T16:25:00,0.0,78,Actual MW tag freezes while resource signal continues moving.,Do not trust stale tag; use last-good value and lower forecast confidence.
EVH_00010,2016-10-22,inverter_group_derating,equipment,WATCH,PAV_HUB_4,PAV_S4_B05,2016-10-22T10:25:00,2016-10-22T10:30:00,2016-10-22T10:30:00,2016-10-22T14:30:00,11.16,81,One inverter group derates; resource remains normal but block availability drops.,Inspect inverter group and separate equipment loss from weather error.
